Q,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21
4.594657388,30.07697,29.80283,30.16505,30.1310775,30.06694,30.03106286,29.71349714,30.69813,30.64682,32.45319,32.49548667,32.50788571,32.39339,32.45595,32.39984,32.40232,32.38717,32.21921,32.22349,32.23177,32.51896
4.595042534,30.07642143,29.80444714,30.16842,30.135795,30.07339,30.03486,29.71597571,30.70064143,30.64798143,32.45149286,32.48739333,32.50149429,32.39412143,32.45932,32.40095571,32.40364286,32.38768,32.21898429,32.22371714,32.23183,32.51819571
4.595581304,30.07587286,29.80606429,30.17179,30.1405125,30.07984,30.0386625,29.71845429,30.70315286,30.64914286,32.44979571,32.4793,32.49510286,32.39485286,32.46269,32.40207143,32.40496571,32.38819,32.21875857,32.22394429,32.23189,32.51743143
4.596137382,30.07532429,29.80768143,30.17516,30.14523,30.08629,30.042465,29.72093286,30.70566429,30.65030429,32.44809857,32.47405333,32.48871143,32.39558429,32.46606,32.40318714,32.40628857,32.3887,32.21853286,32.22417143,32.23195,32.51666714
4.596961757,30.07477571,29.80929857,30.17853,30.14986857,30.09274,30.0462675,29.72341143,30.70817571,30.65146571,32.44640143,32.46880667,32.48232,32.39631571,32.46943,32.40430286,32.40761143,32.38921,32.21830714,32.22439857,32.23201,32.51590286
4.597552448,30.07422714,29.81091571,30.1819,30.15450714,30.09919,30.05007,29.72589,30.71068714,30.65262714,32.44470429,32.46356,32.47711429,32.39704714,32.4728,32.40541857,32.40893429,32.38972,32.21808143,32.22462571,32.23207,32.51513857
4.597686597,30.07367857,29.81253286,30.18527,30.15914571,30.10581286,30.0538725,29.72878143,30.71319857,30.65378857,32.44300714,32.45831333,32.47190857,32.39777857,32.47617,32.40653429,32.41025714,32.39023,32.21785571,32.22485286,32.23213,32.51437429
4.5981215,30.07313,29.81415,30.18737,30.16378429,30.11243571,30.057675,29.73167286,30.71571,30.65495,32.44131,32.45306667,32.46670286,32.39851,32.47954,32.40765,32.41158,32.39074,32.21763,32.22508,32.23219,32.51361
4.598469853,30.07204125,29.8142875,30.18947,30.16842286,30.11905857,30.0614775,29.73456429,30.71811875,30.65629375,32.44153875,32.44782,32.46149714,32.3991,32.48229625,32.408695,32.4128,32.391255,32.217575,32.2254025,32.23236375,32.5131975
4.59857371,30.0709525,29.814425,30.19157,30.17306143,30.12568143,30.06528,29.73745571,30.7205275,30.6576375,32.4417675,32.444985,32.45629143,32.39969,32.4850525,32.40974,32.41402,32.39177,32.21752,32.225725,32.2325375,32.512785
