x,y_obs,weight,y_calc,y_bkg,Q,phase 1,phase 2
17.853,1062,0.00094,1149.533,1149.477,1.09,,
17.87,1081,0.00093,1149.519,1149.462,1.091,,
17.887,1109,0.0009,1149.506,1149.448,1.092,,
17.904,1151,0.00087,1149.492,1149.434,1.093,,
17.921,1060,0.00094,1149.478,1149.42,1.094,,
17.938,1058,0.00095,1149.465,1149.406,1.095,,
17.955,1114,0.0009,1149.452,1149.392,1.096,,
17.972,1035,0.00097,1149.438,1149.378,1.097,,
17.989,1041,0.00096,1149.425,1149.365,1.098,,
18.006,1127,0.00089,1149.413,1149.351,1.099,,
18.023,1137,0.00088,1149.4,1149.338,1.1,,
18.04,1058,0.00095,1149.387,1149.325,1.101,,
18.057,1130,0.00088,1149.375,1149.312,1.102,,
18.074,1092,0.00092,1149.363,1149.299,1.103,,
18.091,1105,0.0009,1149.35,1149.287,1.104,,
18.108,1101,0.00091,1149.339,1149.274,1.105,,
18.125,1080,0.00093,1149.327,1149.262,1.106,,
18.142,1050,0.00095,1149.315,1149.25,1.107,,
18.159,1062,0.00094,1149.304,1149.238,1.109,,
18.176,1089,0.00092,1149.293,1149.227,1.11,,
18.193,1077,0.00093,1149.282,1149.215,1.111,,
18.21,1091,0.00092,1149.271,1149.204,1.112,,
18.227,1113,0.0009,1149.261,1149.193,1.113,,
18.244,1142,0.00088,1149.251,1149.182,1.114,,
18.261,1107,0.0009,1149.241,1149.171,1.115,,
18.278,1113,0.0009,1149.231,1149.161,1.116,,
18.295,1093,0.00091,1149.222,1149.151,1.117,,
18.312,1117,0.0009,1149.213,1149.141,1.118,,
18.329,1096,0.00091,1149.204,1149.132,1.119,,
18.346,1090,0.00092,1149.195,1149.123,1.12,,
18.363,1126,0.00089,1149.187,1149.114,1.121,,
18.38,1077,0.00093,1149.179,1149.105,1.122,,
18.397,1069,0.00094,1149.172,1149.097,1.123,,
18.414,1133,0.00088,1149.164,1149.089,1.124,,
18.431,1141,0.00088,1149.158,1149.082,1.125,,
18.448,1077,0.00093,1149.151,1149.075,1.126,,
18.465,1070,0.00093,1149.145,1149.068,1.127,,
18.482,1113,0.0009,1149.14,1149.062,1.128,,
18.499,1101,0.00091,1149.135,1149.056,1.129,,
18.516,1065,0.00094,1149.13,1149.05,1.13,,
18.533,1061,0.00094,1149.126,1149.045,1.131,,
18.55,1080,0.00093,1149.122,1149.041,1.132,,
18.567,1116,0.0009,1149.119,1149.037,1.133,,
18.584,1111,0.0009,1149.116,1149.034,1.134,,
18.601,1076,0.00093,1149.114,1149.031,1.135,,
18.618,1076,0.00093,1149.113,1149.029,1.136,,
18.635,1098,0.00091,1149.112,1149.027,1.137,,
18.652,1093,0.00091,1149.112,1149.026,1.138,,
18.669,1112,0.0009,1149.113,1149.026,1.139,,
18.686,1137,0.00088,1149.115,1149.027,1.14,,
18.703,1125,0.00089,1149.117,1149.028,1.141,,
18.72,1063,0.00094,1149.12,1149.031,1.142,,
18.737,1077,0.00093,1149.124,1149.034,1.143,,
18.754,1087,0.00092,1149.129,1149.038,1.145,,
18.771,1116,0.0009,1149.135,1149.043,1.146,,
18.788,1097,0.00091,1149.142,1149.049,1.147,,
18.805,1135,0.00088,1149.15,1149.056,1.148,,
18.822,1110,0.0009,1149.159,1149.064,1.149,,
18.839,1119,0.00089,1149.17,1149.074,1.15,,
18.856,1123,0.00089,1149.182,1149.084,1.151,,
18.873,1118,0.00089,1149.195,1149.097,1.152,,
18.89,1138,0.00088,1149.21,1149.11,1.153,,
18.907,1086,0.00092,1149.226,1149.126,1.154,,
18.924,1071,0.00093,1149.244,1149.143,1.155,,
18.941,1158,0.00086,1149.264,1149.161,1.156,,
18.958,1168,0.00086,1149.285,1149.182,1.157,,
18.975,1136,0.00088,1149.309,1149.204,1.158,,
18.992,1124,0.00089,1149.335,1149.229,1.159,,
19.009,1169,0.00086,1149.363,1149.256,1.16,,
19.026,1078,0.00093,1149.394,1149.286,1.161,,
19.043,1102,0.00091,1149.428,1149.318,1.162,,
19.06,1161,0.00086,1149.464,1149.353,1.163,,
19.077,1121,0.00089,1149.503,1149.392,1.164,,
19.094,1136,0.00088,1149.546,1149.433,1.165,,
19.111,1136,0.00088,1149.593,1149.478,1.166,,
19.128,1020,0.00098,1149.643,1149.527,1.167,,
19.145,1059,0.00094,1149.698,1149.581,1.168,,
19.162,1113,0.0009,1149.757,1149.638,1.169,,
19.179,1175,0.00085,1149.821,1149.701,1.17,,
19.196,1122,0.00089,1149.891,1149.769,1.171,,
19.213,1102,0.00091,1149.966,1149.843,1.172,,
19.23,1106,0.0009,1150.048,1149.924,1.173,,
19.247,1123,0.00089,1150.137,1150.011,1.174,,
19.264,1069,0.00094,1150.234,1150.106,1.175,,
19.281,1119,0.00089,1150.339,1150.21,1.176,,
19.298,1109,0.0009,1150.453,1150.323,1.177,,
19.315,1078,0.00093,1150.578,1150.446,1.178,,
19.332,1120,0.00089,1150.714,1150.581,1.179,,
19.349,1119,0.00089,1150.863,1150.728,1.18,,
19.366,1106,0.0009,1151.026,1150.889,1.182,,
19.383,1131,0.00088,1151.205,1151.066,1.183,,
19.4,1110,0.0009,1151.401,1151.261,1.184,,
19.417,1108,0.0009,1151.617,1151.475,1.185,,
19.434,1149,0.00087,1151.855,1151.711,1.186,,
19.451,1134,0.00088,1152.119,1151.973,1.187,,
19.468,1090,0.00092,1152.41,1152.263,1.188,,
19.485,1107,0.0009,1152.735,1152.585,1.189,,
19.502,1160,0.00086,1153.096,1152.945,1.19,,
19.519,1143,0.00087,1153.501,1153.347,1.191,,
19.536,1153,0.00087,1153.954,1153.799,1.192,,
19.553,1125,0.00089,1154.466,1154.308,1.193,,
19.57,1090,0.00092,1155.044,1154.884,1.194,,
19.587,1058,0.00095,1155.702,1155.54,1.195,,
19.604,1109,0.0009,1156.453,1156.288,1.196,,
19.621,1075,0.00093,1157.315,1157.149,1.197,,
19.638,1082,0.00092,1158.312,1158.143,1.198,,
19.655,1093,0.00091,1159.471,1159.3,1.199,,
19.672,1140,0.00088,1160.83,1160.656,1.2,,
19.689,1115,0.0009,1162.435,1162.259,1.201,,
19.706,1117,0.0009,1164.348,1164.169,1.202,,
19.723,1135,0.00088,1166.651,1166.47,1.203,,
19.74,1133,0.00088,1169.457,1169.274,1.204,,
19.757,1105,0.0009,1172.919,1172.733,1.205,,
19.774,1114,0.0009,1177.253,1177.064,1.206,,
19.791,1159,0.00086,1182.77,1182.578,1.207,,
19.808,1197,0.00084,1189.929,1189.735,1.208,,
19.825,1172,0.00085,1199.427,1199.23,1.209,,
19.842,1211,0.00083,1212.359,1212.159,1.21,,
19.859,1244,0.0008,1230.505,1230.302,1.211,,
19.876,1267,0.00079,1256.862,1256.655,1.212,,
19.893,1299,0.00077,1296.56,1296.35,1.213,,
19.91,1405,0.00071,1358.206,1357.993,1.214,,
19.927,1482,0.00067,1454.521,1454.305,1.215,,
19.944,1577,0.00063,1594.331,1594.111,1.216,,
19.961,1784,0.00056,1742.133,1741.91,1.217,,
19.978,1747,0.00057,1778.566,1778.339,1.218,,
19.995,1588,0.00063,1661.295,1661.065,1.219,,
20.012,1565,0.00064,1508.628,1508.393,1.221,,
20.029,1490,0.00067,1393.853,1393.615,1.222,,
20.046,1410,0.00071,1319.209,1318.966,1.223,,
20.063,1289,0.00078,1271.485,1271.239,1.224,,
20.08,1238,0.00081,1240.242,1239.991,1.225,,
20.097,1171,0.00085,1219.049,1218.794,1.226,,
20.114,1143,0.00087,1204.151,1203.892,1.227,,
20.131,1144,0.00087,1193.334,1193.07,1.228,,
20.148,1161,0.00086,1185.257,1184.989,1.229,,
20.165,1146,0.00087,1179.082,1178.809,1.23,,
20.182,1150,0.00087,1174.262,1173.984,1.231,,
20.199,1158,0.00086,1170.432,1170.149,1.232,,
20.216,1189,0.00084,1167.34,1167.052,1.233,,
20.233,1138,0.00088,1164.809,1164.516,1.234,,
20.25,1119,0.00089,1162.713,1162.414,1.235,,
20.267,1123,0.00089,1160.956,1160.652,1.236,,
20.284,1106,0.0009,1159.471,1159.161,1.237,,
20.301,1111,0.0009,1158.203,1157.887,1.238,,
20.318,1123,0.00089,1157.112,1156.79,1.239,,
20.335,1127,0.00089,1156.166,1155.838,1.24,,
20.352,1115,0.0009,1155.341,1155.007,1.241,,
20.369,1166,0.00086,1154.617,1154.276,1.242,,
20.386,1159,0.00086,1153.979,1153.631,1.243,,
20.403,1148,0.00087,1153.412,1153.057,1.244,,
20.42,1174,0.00085,1152.906,1152.544,1.245,,
20.437,1197,0.00084,1152.454,1152.084,1.246,,
20.454,1201,0.00083,1152.047,1151.67,1.247,,
20.471,1169,0.00086,1151.68,1151.295,1.248,,
20.488,1133,0.00088,1151.347,1150.954,1.249,,
20.505,1168,0.00086,1151.045,1150.643,1.25,,
20.522,1160,0.00086,1150.769,1150.359,1.251,,
20.539,1120,0.00089,1150.517,1150.098,1.252,,
20.556,1096,0.00091,1150.286,1149.858,1.253,,
20.573,1135,0.00088,1150.074,1149.636,1.254,,
20.59,1154,0.00087,1149.879,1149.431,1.255,,
20.607,1169,0.00086,1149.699,1149.241,1.256,,
20.624,1120,0.00089,1149.532,1149.063,1.257,,
20.641,1120,0.00089,1149.377,1148.898,1.258,,
20.658,1123,0.00089,1149.234,1148.743,1.26,,
20.675,1109,0.0009,1149.101,1148.598,1.261,,
20.692,1184,0.00084,1148.977,1148.462,1.262,,
20.709,1127,0.00089,1148.861,1148.333,1.263,,
20.726,1103,0.00091,1148.753,1148.213,1.264,,
20.743,1182,0.00085,1148.653,1148.098,1.265,,
20.76,1143,0.00087,1148.558,1147.99,1.266,,
20.777,1133,0.00088,1148.471,1147.888,1.267,,
20.794,1160,0.00086,1148.388,1147.79,1.268,,
20.811,1187,0.00084,1148.311,1147.697,1.269,,
20.828,1127,0.00089,1148.24,1147.609,1.27,,
20.845,1142,0.00088,1148.172,1147.525,1.271,,
20.862,1136,0.00088,1148.11,1147.444,1.272,,
20.879,1086,0.00092,1148.051,1147.367,1.273,,
20.896,1119,0.00089,1147.996,1147.293,1.274,,
20.913,1130,0.00088,1147.946,1147.222,1.275,,
20.93,1168,0.00086,1147.898,1147.154,1.276,,
20.947,1065,0.00094,1147.855,1147.088,1.277,,
20.964,1195,0.00084,1147.815,1147.025,1.278,,
20.981,1154,0.00087,1147.778,1146.963,1.279,,
20.998,1092,0.00092,1147.744,1146.904,1.28,,
21.015,1153,0.00087,1147.713,1146.847,1.281,,
21.032,1142,0.00088,1147.685,1146.792,1.282,,
21.049,1168,0.00086,1147.661,1146.739,1.283,,
21.066,1070,0.00093,1147.639,1146.687,1.284,,
21.083,1141,0.00088,1147.621,1146.636,1.285,,
21.1,1193,0.00084,1147.606,1146.587,1.286,,
21.117,1194,0.00084,1147.593,1146.54,1.287,,
21.134,1141,0.00088,1147.584,1146.493,1.288,,
21.151,1131,0.00088,1147.578,1146.448,1.289,,
21.168,1138,0.00088,1147.576,1146.404,1.29,,
21.185,1173,0.00085,1147.576,1146.361,1.291,,
21.202,1142,0.00088,1147.58,1146.319,1.292,,
21.219,1139,0.00088,1147.588,1146.278,1.293,,
21.236,1174,0.00085,1147.6,1146.238,1.294,,
21.253,1149,0.00087,1147.615,1146.199,1.295,,
21.27,1134,0.00088,1147.635,1146.16,1.296,,
21.287,1173,0.00085,1147.659,1146.122,1.297,,
21.304,1191,0.00084,1147.688,1146.085,1.298,,
21.321,1136,0.00088,1147.721,1146.049,1.299,,
21.338,1100,0.00091,1147.761,1146.013,1.3,,
21.355,1108,0.0009,1147.805,1145.978,1.302,,
21.372,1125,0.00089,1147.856,1145.944,1.303,,
21.389,1130,0.00088,1147.914,1145.91,1.304,,
21.406,1180,0.00085,1147.979,1145.876,1.305,,
21.423,1182,0.00085,1148.052,1145.844,1.306,,
21.44,1119,0.00089,1148.134,1145.811,1.307,,
21.457,1144,0.00087,1148.225,1145.779,1.308,,
21.474,1163,0.00086,1148.326,1145.748,1.309,,
21.491,1168,0.00086,1148.439,1145.717,1.31,,
21.508,1152,0.00087,1148.565,1145.686,1.311,,
21.525,1129,0.00089,1148.705,1145.656,1.312,,
21.542,1129,0.00089,1148.861,1145.626,1.313,,
21.559,1139,0.00088,1149.034,1145.597,1.314,,
21.576,1148,0.00087,1149.228,1145.567,1.315,,
21.593,1177,0.00085,1149.444,1145.539,1.316,,
21.61,1145,0.00087,1149.685,1145.51,1.317,,
21.627,1150,0.00087,1149.956,1145.482,1.318,,
21.644,1211,0.00083,1150.26,1145.454,1.319,,
21.661,1156,0.00087,1150.602,1145.426,1.32,,
21.678,1159,0.00086,1150.988,1145.399,1.321,,
21.695,1178,0.00085,1151.426,1145.372,1.322,,
21.712,1151,0.00087,1151.924,1145.345,1.323,,
21.729,1219,0.00082,1152.493,1145.318,1.324,,
21.746,1165,0.00086,1153.146,1145.292,1.325,,
21.763,1239,0.00081,1153.902,1145.266,1.326,,
21.78,1211,0.00083,1154.789,1145.24,1.327,,
21.797,1179,0.00085,1155.853,1145.214,1.328,,
21.814,1190,0.00084,1157.181,1145.188,1.329,,
21.831,1192,0.00084,1158.951,1145.163,1.33,,
21.848,1268,0.00079,1161.517,1145.138,1.331,,
21.865,1187,0.00084,1165.573,1145.113,1.332,,
21.882,1178,0.00085,1172.396,1145.088,1.333,,
21.899,1287,0.00078,1184.158,1145.063,1.334,,
21.916,1276,0.00078,1204.232,1145.038,1.335,,
21.933,1349,0.00074,1237.342,1145.014,1.336,,
21.95,1336,0.00075,1289.267,1144.99,1.337,,
21.967,1429,0.0007,1365.957,1144.966,1.338,,
21.984,1499,0.00067,1471.872,1144.942,1.339,,
22.001,1683,0.00059,1607.821,1144.918,1.34,,
22.018,1849,0.00054,1768.892,1144.894,1.341,,
22.035,2120,0.00047,1943.033,1144.871,1.342,,
22.052,2353,0.00042,2111.284,1144.847,1.343,,
22.069,2488,0.0004,2249.974,1144.824,1.345,,
22.086,2633,0.00038,2336.084,1144.801,1.346,,
22.103,2553,0.00039,2354.933,1144.777,1.347,,
22.12,2380,0.00042,2304.843,1144.754,1.348,,
22.137,2112,0.00047,2195.775,1144.732,1.349,,
22.154,1902,0.00053,2045.735,1144.709,1.35,,
22.171,1737,0.00058,1876.739,1144.686,1.351,,
22.188,1561,0.00064,1709.648,1144.663,1.352,,
22.205,1392,0.00072,1560.074,1144.641,1.353,,
22.222,1336,0.00075,1436.762,1144.618,1.354,,
22.239,1296,0.00077,1342.215,1144.596,1.355,,
22.256,1243,0.0008,1274.364,1144.574,1.356,,
22.273,1227,0.00081,1228.516,1144.552,1.357,,
22.29,1236,0.00081,1199.155,1144.529,1.358,,
22.307,1219,0.00082,1181.161,1144.507,1.359,,
22.324,1223,0.00082,1170.447,1144.485,1.36,,
22.341,1219,0.00082,1164.105,1144.464,1.361,,
22.358,1185,0.00084,1160.251,1144.442,1.362,,
22.375,1181,0.00085,1157.764,1144.42,1.363,,
22.392,1194,0.00084,1156.022,1144.398,1.364,,
22.409,1214,0.00082,1154.699,1144.377,1.365,,
22.426,1226,0.00082,1153.63,1144.355,1.366,,
22.443,1195,0.00084,1152.731,1144.334,1.367,,
22.46,1166,0.00086,1151.956,1144.312,1.368,,
22.477,1191,0.00084,1151.281,1144.291,1.369,,
22.494,1150,0.00087,1150.685,1144.269,1.37,,
22.511,1111,0.0009,1150.158,1144.248,1.371,,
22.528,1117,0.0009,1149.688,1144.227,1.372,,
22.545,1158,0.00086,1149.266,1144.206,1.373,,
22.562,1201,0.00083,1148.887,1144.185,1.374,,
22.579,1199,0.00083,1148.544,1144.163,1.375,,
22.596,1250,0.0008,1148.233,1144.142,1.376,,
22.613,1211,0.00083,1147.95,1144.121,1.377,,
22.63,1195,0.00084,1147.691,1144.1,1.378,,
22.647,1200,0.00083,1147.454,1144.08,1.379,,
22.664,1227,0.00081,1147.235,1144.059,1.38,,
22.681,1191,0.00084,1147.034,1144.038,1.381,,
22.698,1159,0.00086,1146.847,1144.017,1.382,,
22.715,1143,0.00087,1146.674,1143.996,1.383,,
22.732,1095,0.00091,1146.513,1143.976,1.384,,
22.749,1175,0.00085,1146.362,1143.955,1.385,,
22.766,1138,0.00088,1146.221,1143.934,1.386,,
22.783,1160,0.00086,1146.089,1143.914,1.387,,
22.8,1152,0.00087,1145.965,1143.893,1.388,,
22.817,1218,0.00082,1145.849,1143.873,1.389,,
22.834,1147,0.00087,1145.738,1143.852,1.39,,
22.851,1152,0.00087,1145.634,1143.832,1.392,,
22.868,1109,0.0009,1145.536,1143.812,1.393,,
22.885,1160,0.00086,1145.442,1143.791,1.394,,
22.902,1175,0.00085,1145.353,1143.771,1.395,,
22.919,1147,0.00087,1145.268,1143.75,1.396,,
22.936,1185,0.00084,1145.187,1143.73,1.397,,
22.953,1173,0.00085,1145.109,1143.71,1.398,,
22.97,1207,0.00083,1145.035,1143.69,1.399,,
22.987,1187,0.00084,1144.964,1143.67,1.4,,
23.004,1123,0.00089,1144.896,1143.649,1.401,,
23.021,1158,0.00086,1144.831,1143.629,1.402,,
23.038,1194,0.00084,1144.768,1143.609,1.403,,
23.055,1173,0.00085,1144.707,1143.589,1.404,,
23.072,1195,0.00084,1144.648,1143.569,1.405,,
23.089,1182,0.00085,1144.591,1143.549,1.406,,
23.106,1144,0.00087,1144.537,1143.529,1.407,,
23.123,1194,0.00084,1144.484,1143.509,1.408,,
23.14,1136,0.00088,1144.432,1143.489,1.409,,
23.157,1106,0.0009,1144.382,1143.469,1.41,,
23.174,1216,0.00082,1144.334,1143.449,1.411,,
23.191,1181,0.00085,1144.286,1143.429,1.412,,
23.208,1160,0.00086,1144.241,1143.409,1.413,,
23.225,1177,0.00085,1144.196,1143.389,1.414,,
23.242,1205,0.00083,1144.152,1143.369,1.415,,
23.259,1186,0.00084,1144.11,1143.35,1.416,,
23.276,1238,0.00081,1144.068,1143.33,1.417,,
23.293,1195,0.00084,1144.027,1143.31,1.418,,
