X 90 Kohm,Y 90 Kohm,,X 90 Kohm-clear,Y 90 Kohm-clear,,X 60 Kohm,Y 60 Kohm,,X 60 Kohm-clear,Y 60 Kohm-clear,,X 30 Kohm,Y 30 Kohm,,X 30 Kohm-clear,Y 30 Kohm-clear
400.3113568,111.0495776,,400.7326952,113.3248596,,400.0519042,110.2319545,,401.439192,113.3237146,,400.1019284,102.6931082,,401.6239763,108.4793381
401.0066921,111.0303447,,401.4292613,113.351253,,401.6749051,110.1787782,,402.1333776,113.2620371,,400.7969429,102.8064374,,402.3202069,108.5929355
401.7020273,110.9630297,,402.1248726,113.3251389,,402.370887,110.125602,,402.8273239,113.1866856,,401.4921961,102.8945227,,403.0159612,108.6762403
402.3973625,110.9149475,,402.819529,113.2465174,,404.2269581,109.974936,,403.5224661,113.1797034,,402.0716732,102.9574088,,403.7123108,108.7974108
403.0926978,110.905331,,403.5144241,113.1810228,,404.9237771,109.8597208,,404.2172496,113.1522105,,402.8819864,103.1464252,,404.4088986,108.9337277
403.788033,110.8764817,,404.2097967,113.1417818,,405.8522312,109.7533683,,404.9110764,113.0700221,,403.5768815,103.2723764,,405.3366106,109.0473251
404.4833683,110.7803173,,404.9050499,113.0959775,,407.1279587,109.6736039,,405.3725513,112.9536976,,404.2722541,103.3478397,,406.0328412,109.1609225
405.1787035,110.7033858,,405.6007805,113.0764268,,409.0982331,109.6470158,,406.0675739,112.9398785,,404.9670298,103.486413,,406.8451697,109.2972394
405.8740388,110.6745365,,406.2966305,113.0634396,,409.7942149,109.5938396,,406.7631945,112.9602439,,405.6620443,103.5997422,,407.6565457,109.372971
406.569374,110.7226187,,406.9920031,113.0241987,,410.7233865,109.4343109,,407.4589346,112.9874463,,406.5892077,103.70036,,408.3533716,109.5244342
407.2647093,110.7033858,,407.6871369,112.9718309,,413.157888,109.3545465,,408.1538376,112.9667903,,407.2843416,103.8010672,,408.9345759,109.6834705
407.9600445,110.6745365,,408.3825094,112.93259,,413.7383512,109.2747821,,408.8485015,112.9324604,,407.9791173,103.9396405,,409.3995036,109.8084276
408.6553798,110.6745365,,409.0790756,112.9589833,,414.434333,109.2216059,,409.5428066,112.8776197,,408.557759,104.0908804,,410.3259653,109.8425069
409.350715,110.6264543,,409.7745675,112.9263059,,415.5949007,109.0886653,,410.2372313,112.829616,,409.3684302,104.2420308,,411.1372222,109.9106653
410.0460503,110.5687557,,410.4698207,112.8805015,,416.522996,109.0089009,,410.9312973,112.7611015,,409.948146,104.279673,,412.064577,110.0015432
410.7413855,110.5206735,,411.1647158,112.8150069,,418.3777518,108.9557247,,411.6246457,112.6515655,,410.7590559,104.4055795,,413.224485,110.1605796
411.4367208,110.4533584,,411.8594916,112.7429488,,420.5808572,108.8493722,,412.3189508,112.5967248,,411.6862193,104.5061972,,414.0364563,110.274177
412.132056,110.4437419,,412.554148,112.6643273,,421.1609616,108.796196,,413.0139735,112.5829057,,412.6136215,104.581571,,414.8480704,110.3650549
412.8273913,110.4052762,,413.2488044,112.5857058,,422.3226055,108.583491,,413.7091157,112.5759235,,413.3093521,104.6191684,,415.4278458,110.4332133
413.5227265,110.3283447,,413.9431028,112.487394,,422.7875501,108.4771385,,414.403062,112.500572,,414.0040085,104.7703636,,416.2391026,110.5013717
414.2180617,110.3187282,,414.638714,112.4612799,,423.4828144,108.4771385,,415.0968888,112.4183837,,414.6995004,104.8332049,,416.8181636,110.5240912
414.913397,110.2994954,,415.3344447,112.4417293,,425.1058154,108.4239623,,415.7910744,112.3567061,,415.3951117,104.8834243,,417.8607828,110.5846765
415.6087322,110.1937145,,416.0293398,112.3762347,,425.8017972,108.370786,,416.4849011,112.2745178,,416.321917,105.021908,,418.5567752,110.6831276
416.3040675,110.0975501,,416.7237575,112.2844863,,426.497779,108.3176098,,417.1780104,112.1513079,,417.0163347,105.1983471,,419.4849636,110.8270176
416.9994027,110.0783173,,417.4192494,112.2518088,,427.1937609,108.2644336,,417.8727939,112.123815,,417.7107524,105.3747863,,420.1796462,110.8421639
417.694738,110.1263994,,418.1156962,112.2716387,,429.8596583,108.2112573,,418.5690123,112.178365,,418.2904683,105.4124284,,420.8740906,110.8421639
418.3900732,110.203331,,418.8111881,112.2389612,,431.3674994,108.1049048,,419.2631979,112.1166874,,418.9858408,105.4878918,,421.5688923,110.8648834
419.0854085,110.1552488,,419.5060832,112.1734666,,432.5277083,107.9985523,,419.9564267,112.0003145,,419.7969894,105.5885543,,422.2647656,110.9557613
419.7807437,110.0110022,,420.2002622,112.0685914,,433.3406438,107.8656117,,420.6497752,111.8907785,,420.4921233,105.6892615,,422.9595673,110.9784808
420.476079,109.9244542,,420.8949186,111.9899699,,434.1532205,107.7592593,,421.3439607,111.8291009,,421.1868991,105.8278348,,423.6540118,110.9784808
421.1714142,109.9148378,,421.5896944,111.9179118,,434.6170888,107.7326711,,422.0383854,111.7810972,,421.8826297,105.8654321,,424.2334299,111.0239198
421.8667495,109.9052213,,422.2844702,111.8458537,,438.5587138,107.5997305,,422.7323318,111.7057457,,422.5783603,105.9030295,,424.9285888,111.0693587
422.5620847,109.8379063,,422.979604,111.793486,,442.2696603,107.3870256,,423.4259194,111.6098836,,423.2736135,105.9911148,,425.8545147,111.0693587
423.25742,109.7898241,,423.6741411,111.708301,,443.4298692,107.2806731,,424.1198657,111.5345322,,423.9691054,106.0539562,,426.5496736,111.1147977
423.9527552,109.7705912,,424.3693943,111.6624967,,446.2127203,107.1477325,,424.8145296,111.5002023,,424.664478,106.1294195,,427.1290918,111.1602366
424.6480905,109.722509,,425.0652442,111.6495095,,447.1411744,107.04138,,425.5091935,111.4658724,,425.3597312,106.2175048,,428.0547795,111.1450903
425.3434257,109.6359611,,425.7601394,111.5840148,,448.1847884,106.9882038,,426.2034986,111.4110317,,426.0543876,106.3687,,429.2119488,111.129944
426.038761,109.5878789,,426.4550345,111.5185202,,449.9240255,106.9084394,,426.8980429,111.3698649,,426.7502376,106.3936754,,429.9073458,111.1905293
426.7340962,109.5494131,,427.1499296,111.4530255,,450.8528384,106.7754988,,427.5924676,111.3218611,,427.4459682,106.4312728,,430.8342244,111.2511145
427.4294314,109.414783,,427.7282729,111.3579722,,452.2437258,106.7489107,,428.2854573,111.1918144,,428.3726542,106.5823784,,431.4129281,111.2511145
428.1247667,109.3763172,,428.3066161,111.2629188,,452.9389901,106.7489107,,428.9790449,111.0959522,,429.2993402,106.7334841,,432.1066581,111.2056756
428.8201019,109.4532487,,429.00175,111.2105511,,453.4035759,106.6691463,,429.6737088,111.0616223,,429.9950708,106.7710815,,432.8003881,111.1602366
429.5154372,109.4436323,,429.6971225,111.1713101,,454.5637848,106.5627938,,430.3689706,111.061477,,430.6908014,106.8086789,,433.8413403,111.1147977
430.2107724,109.4340158,,430.2763012,111.1222008,,455.955031,106.5096176,,431.0630365,110.9929625,,431.386532,106.8462763,,435.2302292,111.1147977
430.9061077,109.3859336,,430.8544058,111.0140206,,456.6510128,106.4564413,,431.7562654,110.8765896,,432.3139342,106.9216501,,437.4293032,111.1147977
431.6014429,109.3090021,,431.5487041,110.9157088,,458.2747313,106.3500889,,432.4499726,110.7875643,,433.0093067,106.9971134,,438.1230332,111.0693587
432.2967782,109.2032213,,432.2430025,110.817397,,459.2024679,106.2969126,,433.1437993,110.705376,,433.7046793,107.0725767,,439.3961814,111.0693587
432.9921134,109.1166733,,432.9376589,110.7387755,,461.2900547,106.163972,,433.8370282,110.589003,,434.4004099,107.1101741,,440.3210356,111.0012003
433.6874487,109.0301254,,433.5161215,110.6502856,,461.9856777,106.1373839,,434.5301375,110.4657932,,435.0951857,107.2487473,,441.4773714,110.9330418
434.3827839,108.9724267,,434.094226,110.5421054,,462.6809421,106.1373839,,435.2236055,110.3630941,,435.6744241,107.3368774,,442.5183236,110.8876029
435.0781192,109.0012761,,434.7881663,110.4241033,,463.3769239,106.0842077,,435.9186281,110.3492749,,436.4854534,107.4501618,,443.6750166,110.8421639
435.7734544,109.0782076,,435.4833001,110.3717355,,464.7685288,106.0044433,,436.6140095,110.3559666,,437.761616,107.4496695,,444.4841301,110.7740055
436.4687897,109.0493583,,436.1795082,110.3784386,,465.3493508,105.8980908,,437.3083146,110.3011259,,438.5727646,107.550332,,444.9467358,110.751286
437.1641249,108.9724267,,436.8735678,110.267,,465.929814,105.8183265,,438.0020218,110.2121006,,439.2681372,107.6257953,,447.0289975,110.6831276
437.8594602,108.9147281,,437.5679855,110.1752516,,466.6257958,105.7651502,,438.6952507,110.0957277,,439.8477336,107.6760595,,447.7216558,110.5695302
438.5547954,108.8185637,,438.2627613,110.1031935,,468.3646742,105.711974,,439.3887187,109.9930286,,440.6587629,107.789344,,448.4143141,110.4559328
439.2501307,108.7704815,,438.9576564,110.0376989,,468.9447786,105.6587977,,440.0821867,109.8903295,,441.3541355,107.8648073,,449.2234276,110.3877743
439.9454659,108.7320158,,439.6520741,109.9459505,,469.641478,105.5524452,,440.7755352,109.7807935,,442.0498661,107.9024047,,450.2643798,110.3423354
440.6408011,108.6647007,,440.3463725,109.8476387,,470.4533372,105.499269,,441.4691228,109.6849313,,442.7464322,107.8516482,,451.1893532,110.2817501
