formula,Property Bulk modulus,Property Bulk modulus units
Li$_{3}$PO$_{4}$,70,GPa
LiB,82,GPa
KZnSb,27,GPa
GaSb,45,GPa
TiAu$_{4}$,144,GPa
NbNi$_{3}$,211,GPa
CdAu,92,GPa
ZnP$_{4}$,61,GPa
ScPPt,154,GPa
ScNi,110,GPa
SrNi$_{2}$Ge,75,GPa
Sn,38,GPa
Hf$_{2}$Ag,112,GPa
Y$_{3}$Al$_{2}$,59,GPa
SiOs,295,GPa
Cr$_{3}$Ir,276,GPa
Cr$_{3}$PtN,267,GPa
P,33,GPa
Rb$_{2}$PdF$_{6}$,17,GPa
WC,365,GPa
NiS,124,GPa
Na$_{3}$PS$_{3}$O,27,GPa
CaHg,35,GPa
Ti$_{2}$ZnN,151,GPa
TiS$_{2}$,94,GPa
Ca$_{3}$(AlGe)$_{2}$,48,GPa
SnSb,50,GPa
Mn$_{3}$AgN,141,GPa
Hf,108,GPa
AlSb,49,GPa
Sm$_{2}$S$_{3}$,77,GPa
NiN,259,GPa
PdF$_{4}$,41,GPa
ScZn$_{2}$,81,GPa
NbSn$_{2}$,96,GPa
HfAlCu$_{2}$,135,GPa
NaVS$_{2}$,60,GPa
V$_{3}$Te$_{4}$,53,GPa
Al$_{2}$Pt,129,GPa
Yb(ZnAs)$_{2}$,60,GPa
Co$_{3}$Se$_{4}$,96,GPa
ZrRu$_{3}$C,257,GPa
NbIr$_{3}$,313,GPa
Ti$_{3}$NiS$_{6}$,72,GPa
Sc$_{3}$BPb,79,GPa
Si$_{3}$Mo$_{5}$,242,GPa
Ti$_{2}$Pd,143,GPa
Be$_{2}$W,218,GPa
NbPt$_{3}$,250,GPa
PdF$_{3}$,48,GPa
LiZnP,65,GPa
ZnBi,38,GPa
Sc$_{2}$Al$_{3}$Ru,112,GPa
ZrCdCu$_{2}$,115,GPa
SrCuSb,50,GPa
CuO,178,GPa
ZrPt,166,GPa
Rb$_{2}$ZrF$_{6}$,22,GPa
BaSn$_{3}$Pd,55,GPa
CdPd,110,GPa
CO$_{2}$,5,GPa
Ta$_{2}$O$_{5}$,137,GPa
Li$_{2}$CdSb,38,GPa
Ca$_{3}$N$_{2}$,72,GPa
NbSi$_{2}$,176,GPa
VAuS$_{2}$,115,GPa
ZnO,157,GPa
KAg$_{2}$PS$_{4}$,41,GPa
MnCN$_{2}$,105,GPa
TiNiGe,158,GPa
Mo,262,GPa
ScCu,81,GPa
YPPt,135,GPa
GeS,35,GPa
LiTlPd$_{2}$,96,GPa
KPt$_{2}$Se$_{3}$,30,GPa
ZrSiO$_{4}$,226,GPa
Ca$_{3}$MnN$_{3}$,88,GPa
CrFe$_{2}$Si,241,GPa
CaMgGe,47,GPa
CaPd$_{5}$,114,GPa
MoN,326,GPa
SrZn$_{2}$,36,GPa
MoPt$_{3}$,246,GPa
YCuSn,77,GPa
SrAlGe,49,GPa
Fe$_{3}$C,198,GPa
Hf$_{2}$CS,177,GPa
PdS$_{2}$,41,GPa
Li$_{3}$Al$_{2}$,40,GPa
Y(Al$_{2}$Cu)$_{4}$,101,GPa
As$_{2}$Ir,153,GPa
Mg$_{2}$Rh,74,GPa
ZrP,135,GPa
CoSb$_{3}$,83,GPa
Zn(GaSe$_{2}$)$_{2}$,37,GPa
SrPd$_{5}$,109,GPa
BP,161,GPa
ZrBeSi,139,GPa
ScAu,103,GPa
BaZnGe,40,GPa
ZrBe$_{2}$,120,GPa
ZrSi,142,GPa
GaIr,217,GPa
