formula,Property Bulk modulus,Property Bulk modulus units
Sc$_{4}$C$_{3}$,112,GPa
Ca(ZnSi)$_{2}$,70,GPa
CsO$_{2}$,18,GPa
Mg$_{2}$Pt,73,GPa
Fe,294,GPa
HfRe$_{2}$,262,GPa
CrWN$_{2}$,262,GPa
Al$_{12}$W,92,GPa
Cs$_{2}$HfF$_{6}$,21,GPa
HfZnN$_{2}$,185,GPa
Er$_{2}$SiO$_{5}$,128,GPa
YSi$_{2}$,85,GPa
Fe$_{2}$B$_{4}$Mo,308,GPa
LiSnAu,63,GPa
Hg$_{2}$Pt,86,GPa
Si,94,GPa
TiPRu,221,GPa
NbSe$_{2}$,35,GPa
Ga$_{3}$Ni$_{2}$,123,GPa
TiSiRu,203,GPa
AlV$_{2}$C,171,GPa
CoP$_{2}$,165,GPa
V$_{3}$Pd,197,GPa
PdO,166,GPa
Zr$_{6}$Al$_{2}$Fe,105,GPa
CaSi$_{2}$,54,GPa
CoAsS,131,GPa
NbAlRu$_{2}$,231,GPa
P$_{3}$Rh,151,GPa
LiAl,50,GPa
HfSiPd,170,GPa
Ti$_{2}$Te$_{2}$P,35,GPa
BW,341,GPa
ZrBe$_{5}$,126,GPa
Yb,15,GPa
ZrN,247,GPa
HfRh$_{3}$,219,GPa
CaZnGe,54,GPa
ZrTiF$_{6}$,85,GPa
Be$_{12}$Ag,113,GPa
SrCuP,67,GPa
AlCrCo$_{2}$,203,GPa
AlN,255,GPa
TiAl$_{2}$,108,GPa
VIr,274,GPa
TiCu,128,GPa
Fe$_{3}$Pt,180,GPa
Li$_{2}$S,40,GPa
AlV$_{3}$,159,GPa
HfAg,117,GPa
BePd$_{2}$,166,GPa
CuRhO$_{2}$,173,GPa
YTiGe,85,GPa
CaTe,36,GPa
Ca,18,GPa
MnAlPd$_{2}$,141,GPa
MgTe,35,GPa
MnAu$_{2}$,124,GPa
TiCu$_{3}$,140,GPa
Nb$_{3}$Sn,165,GPa
CaHg$_{2}$,40,GPa
HfMn$_{2}$,193,GPa
GaSe,23,GPa
Cs,2,GPa
Mg$_{2}$SiPt,102,GPa
YSn$_{3}$,62,GPa
CdSb,39,GPa
YCuAs$_{2}$,90,GPa
Li$_{2}$Ca,16,GPa
TiO$_{2}$,205,GPa
ZrAg,106,GPa
BaSe,36,GPa
Zr$_{6}$FeSb$_{2}$,113,GPa
CaSn$_{2}$Pd,61,GPa
Sn$_{2}$S$_{3}$,20,GPa
Sr$_{3}$(AlN$_{2}$)$_{2}$,87,GPa
CuN,205,GPa
ScGe$_{2}$,82,GPa
Zr$_{3}$(Cu$_{2}$Ge)$_{2}$,133,GPa
Ba$_{3}$(AlGe)$_{2}$,33,GPa
TaCo$_{3}$,147,GPa
Mo$_{3}$Ir,288,GPa
NbIr,259,GPa
SbPt$_{7}$,210,GPa
Ce(FeP$_{3}$)$_{4}$,161,GPa
AlBN$_{2}$,259,GPa
Mg,37,GPa
MgRh,115,GPa
Al$_{12}$Re,96,GPa
ScZn$_{12}$,81,GPa
RbAlO$_{2}$,92,GPa
BaAlGe,45,GPa
BeRh,207,GPa
MnAlPt,130,GPa
Sc$_{3}$SnB,83,GPa
Na$_{2}$Si$_{3}$O$_{7}$,107,GPa
Zr$_{2}$Te$_{2}$P,36,GPa
HfVGe,155,GPa
Al$_{3}$Cu$_{2}$,102,GPa
TiPt,182,GPa
LiPt,121,GPa
Li$_{4}$SiO$_{4}$,80,GPa
SrLi$_{4}$N$_{2}$,53,GPa
Ti$_{6}$Si$_{2}$B,149,GPa
Mo$_{3}$Pt,266,GPa
Fe$_{7}$W$_{6}$,271,GPa
Co,212,GPa
Zr$_{2}$Si,126,GPa
YbO,128,GPa
CaAg$_{2}$,50,GPa
LiMgSnPt,88,GPa
Sc$_{2}$GaC,86,GPa
MgGeAs$_{2}$,52,GPa
V$_{3}$Sb,178,GPa
CeS,87,GPa
Li$_{7}$TaN$_{4}$,83,GPa
Co$_{2}$P,226,GPa
TiHg,104,GPa
MgO,151,GPa
TiCrP,205,GPa
YSn$_{2}$,59,GPa
Al$_{2}$O$_{3}$,232,GPa
HfPRu,221,GPa
Ti$_{3}$Te$_{4}$,60,GPa
MnAlRh$_{2}$,184,GPa
Hf$_{3}$Rh$_{5}$,194,GPa
ZrPd,143,GPa
ZnSe,58,GPa
ScAlAu$_{2}$,114,GPa
LiSiNi$_{2}$,149,GPa
ZnP$_{2}$,68,GPa
Na,9,GPa
TiTeAs,83,GPa
YCo$_{2}$,115,GPa
ZnSnF$_{6}$,27,GPa
Ni,197,GPa
Y(AlGe)$_{2}$,71,GPa
RuO$_{2}$,281,GPa
Al$_{2}$Pd,112,GPa
ScNiP,152,GPa
Mo$_{2}$S$_{3}$,102,GPa
YTe,60,GPa
Li$_{3}$Hg,26,GPa
HfC,163,GPa
Li$_{2}$ZnSn,38,GPa
ZrAl,109,GPa
CaZnSi,59,GPa
CaSi,54,GPa
MgNi$_{3}$C,176,GPa
SbIr,161,GPa
ScRh$_{3}$C,215,GPa
YAsPt,117,GPa
ZrZn$_{2}$,102,GPa
Be$_{12}$Pd,124,GPa
SrTcO$_{3}$,176,GPa
BiB,72,GPa
