x	y_obs
48.79	42998
48.89	42472
48.99	42699
49.09	42427
49.19	42683
49.29	42452
49.39	43033
49.49	42780
49.59	42537
49.69	42552
49.79	42227
49.89	43066
49.99	42638
50.09	42589
50.19	42903
50.29	42760
50.39	42292
50.49	42390
50.59	42858
50.69	42419
50.79	42720
50.89	42816
50.99	42633
51.09	42824
51.19	42960
51.29	42614
51.39	42995
51.49	43178
51.59	43721
51.69	43253
51.79	44203
51.89	45145
51.99	46549
52.09	47882
52.19	49218
52.29	51284
52.39	51890
52.49	50937
52.59	49715
52.69	47706
52.79	46099
52.89	44895
52.99	43683
53.09	43229
53.19	43023
53.29	42870
53.39	42764
53.49	42500
53.59	42833
53.69	42470
53.79	42610
53.89	42704
53.99	42088
54.09	42509
54.19	42537
54.29	42425
54.39	42328
54.49	42813
54.59	42669
54.69	42678
54.79	42346
54.89	42726
54.99	42983
55.09	42648
55.19	42311
55.29	42851
55.39	42729
55.49	42691
55.59	42573
55.69	42471
55.79	42715
55.89	42382
55.99	42286
56.09	42636
56.19	42091
56.29	42761
56.39	42694
56.49	42582
56.59	42563
56.69	42344
56.79	42479
56.89	42246
56.99	42505
57.09	42117
57.19	42288
57.29	42398
57.39	42127
57.49	42387
57.59	42017
57.69	42052
57.79	42110
57.89	42274
57.99	42181
58.09	42382
58.19	42316
58.29	42561
58.39	42103
58.49	42273
58.59	42294
58.69	42387
58.79	42235
58.89	42323
58.99	42180
59.09	42633
59.19	42449
59.29	42361
59.39	42535
59.49	42151
59.59	42333
59.69	42446
59.79	42412
59.89	42597
59.99	42342
60.09	42972
60.19	42638
60.29	42654
60.39	42502
60.49	42504
60.59	42670
60.69	42494
60.79	42585
60.89	42736
60.99	42458
61.09	42924
61.19	43320
61.29	43508
61.39	43392
61.49	43974
61.59	44838
61.69	44779
61.79	45933
61.89	46443
61.99	47944
62.09	48905
62.19	50268
62.29	50423
62.39	50623
62.49	49643
62.59	48735
62.69	47760
62.79	46901
62.89	45772
62.99	44947
63.09	44155
63.19	43784
63.29	43761
63.39	43789
63.49	43892
63.59	44228
63.69	43816
63.79	44108
63.89	44329
63.99	45084
64.09	45507
64.19	46090
64.29	47263
64.39	48984
64.49	51187
64.59	54319
64.69	59096
64.79	65786
64.89	72608
64.99	80798
65.09	89328
65.19	97555
65.29	103833
65.39	108362
65.49	107983
65.59	104382
65.69	99098
65.79	89894
65.89	81076
65.99	72834
66.09	64925
66.19	58938
66.29	54632
66.39	51323
66.49	48970
66.59	46818
66.69	46216
66.79	45446
66.89	44750
66.99	44513
67.09	43649
67.19	43573
67.29	43213
67.39	43043
67.49	43045
67.59	43275
67.69	43353
67.79	42912
67.89	42861
67.99	42367
68.09	42617
68.19	42160
68.29	41596
68.39	41833
68.49	41312
68.59	41194
68.69	40872
68.79	41491
68.89	41426
68.99	40904
69.09	41102
69.19	41187
69.29	41451
69.39	40801
69.49	41326
69.59	41041
69.69	40716
69.79	40715
69.89	40846
69.99	41049
70.09	40939
70.19	40454
70.29	40449
70.39	40924
70.49	40612
70.59	40701
70.69	40689
70.79	40444
70.89	40535
70.99	40979
71.09	41016
71.19	41096
71.29	41620
71.39	41852
71.49	42134
71.59	42695
71.69	43245
71.79	43494
71.89	43690
71.99	44169
72.09	44496
72.19	44316
72.29	43711
72.39	43585
72.49	43241
72.59	42953
72.69	42247
72.79	41754
72.89	41430
72.99	41446
73.09	41263
73.19	40950
73.29	40706
73.39	40818
73.49	40698
73.59	40940
73.69	41335
73.79	40906
73.89	40728
73.99	40794
74.09	40475
74.19	40662
74.29	40859
74.39	40840
74.49	40641
74.59	40632
74.69	40486
74.79	40925
74.89	40730
74.99	41209
75.09	40980
75.19	41298
75.29	41822
75.39	41570
75.49	41953
75.59	42739
75.69	42909
75.79	44163
75.89	45523
75.99	46870
76.09	48399
76.19	51469
76.29	54790
76.39	59588
76.49	64485
76.59	70709
76.69	76811
76.79	84518
76.89	90420
76.99	97030
77.09	101256
77.19	103935
77.29	104222
77.39	101991
77.49	98361
77.59	92202
77.69	86028
77.79	78837
77.89	71788
77.99	65792
78.09	60316
78.19	55495
78.29	52918
78.39	49969
78.49	47797
78.59	46098
78.69	45000
78.79	44455
78.89	43395
78.99	42987
79.09	42833
79.19	42250
79.29	42196
79.39	41794
79.49	41356
79.59	41541
79.69	41219
79.79	40714
79.89	40741
79.99	40209
80.09	40183
80.19	40295
80.29	39827
80.39	40127
80.49	40072
80.59	39418
80.69	39584
80.79	39452
80.89	40079
80.99	39608
81.09	39578
81.19	39298
81.29	39063
81.39	39233
81.49	39259
81.59	39332
81.69	39187
