x	y_obs	y_bkg
20.505	1168	1153.506
20.522	1160	1153.229
20.539	1120	1152.975
20.556	1096	1152.741
20.573	1135	1152.525
20.59	1154	1152.325
20.607	1169	1152.139
20.624	1120	1151.965
20.641	1120	1151.804
20.658	1123	1151.652
20.675	1109	1151.511
20.692	1184	1151.377
20.709	1127	1151.251
20.726	1103	1151.133
20.743	1182	1151.021
20.76	1143	1150.915
20.777	1133	1150.814
20.794	1160	1150.718
20.811	1187	1150.627
20.828	1127	1150.54
20.845	1142	1150.457
20.862	1136	1150.377
20.879	1086	1150.301
20.896	1119	1150.228
20.913	1130	1150.157
20.93	1168	1150.09
20.947	1065	1150.025
20.964	1195	1149.962
20.981	1154	1149.901
20.998	1092	1149.843
21.015	1153	1149.786
21.032	1142	1149.731
21.049	1168	1149.678
21.066	1070	1149.626
21.083	1141	1149.576
21.1	1193	1149.527
21.117	1194	1149.479
21.134	1141	1149.433
21.151	1131	1149.388
21.168	1138	1149.344
21.185	1173	1149.3
21.202	1142	1149.258
21.219	1139	1149.217
21.236	1174	1149.177
21.253	1149	1149.137
21.27	1134	1149.098
21.287	1173	1149.06
21.304	1191	1149.023
21.321	1136	1148.986
21.338	1100	1148.95
21.355	1108	1148.915
21.372	1125	1148.88
21.389	1130	1148.846
21.406	1180	1148.812
21.423	1182	1148.779
21.44	1119	1148.746
21.457	1144	1148.713
21.474	1163	1148.681
21.491	1168	1148.65
21.508	1152	1148.619
21.525	1129	1148.588
21.542	1129	1148.558
21.559	1139	1148.528
21.576	1148	1148.498
21.593	1177	1148.468
21.61	1145	1148.439
21.627	1150	1148.41
21.644	1211	1148.382
21.661	1156	1148.354
21.678	1159	1148.326
21.695	1178	1148.298
21.712	1151	1148.27
21.729	1219	1148.243
21.746	1165	1148.216
21.763	1239	1148.189
21.78	1211	1148.163
21.797	1179	1148.136
21.814	1190	1148.11
21.831	1192	1148.084
21.848	1268	1148.058
21.865	1187	1148.032
21.882	1178	1148.007
21.899	1287	1147.981
21.916	1276	1147.956
21.933	1349	1147.931
21.95	1336	1147.906
21.967	1429	1147.881
21.984	1499	1147.856
22.001	1683	1147.832
22.018	1849	1147.807
22.035	2120	1147.783
22.052	2353	1147.759
22.069	2488	1147.735
22.086	2633	1147.711
22.103	2553	1147.687
22.12	2380	1147.663
22.137	2112	1147.639
22.154	1902	1147.616
