x	y_obs
23.752	1171
23.769	1134
23.786	1203
23.803	1140
23.82	1116
23.837	1124
23.854	1174
23.871	1152
23.888	1169
23.905	1191
23.922	1123
23.939	1152
23.956	1166
23.973	1163
23.99	1192
24.007	1227
24.024	1168
24.041	1144
24.058	1163
24.075	1182
24.092	1136
24.109	1203
24.126	1160
24.143	1125
24.16	1189
24.177	1185
24.194	1135
24.211	1134
24.228	1124
24.245	1165
24.262	1179
24.279	1214
24.296	1227
24.313	1197
24.33	1149
24.347	1122
24.364	1151
24.381	1147
24.398	1139
24.415	1135
24.432	1159
24.449	1157
24.466	1154
24.483	1185
24.5	1190
24.517	1173
24.534	1181
24.551	1214
24.568	1163
24.585	1156
24.602	1162
24.619	1148
24.636	1140
24.653	1172
24.67	1171
24.687	1160
24.704	1173
24.721	1201
24.738	1171
24.755	1186
24.772	1184
24.789	1111
24.806	1162
24.823	1235
24.84	1159
24.857	1181
24.874	1141
24.891	1142
24.908	1143
24.925	1173
24.942	1140
24.959	1152
24.976	1162
24.993	1140
25.01	1194
25.027	1168
25.044	1143
25.061	1171
25.078	1179
25.095	1133
25.112	1151
25.129	1204
25.146	1173
25.163	1169
25.18	1159
25.197	1158
25.214	1197
25.231	1200
25.248	1180
25.265	1179
25.282	1157
25.299	1146
25.316	1166
25.333	1189
25.35	1231
25.367	1201
25.384	1143
25.401	1134
25.418	1147
25.435	1129
25.452	1107
25.469	1133
25.486	1172
25.503	1178
25.52	1177
25.537	1179
25.554	1120
25.571	1156
25.588	1144
25.605	1190
25.622	1196
25.639	1187
25.656	1096
25.673	1157
25.69	1131
25.707	1124
25.724	1165
25.741	1222
25.758	1158
25.775	1206
25.792	1198
25.809	1123
25.826	1177
25.843	1161
25.86	1165
25.877	1185
25.894	1125
25.911	1152
25.928	1150
25.945	1190
25.962	1151
25.979	1212
25.996	1209
26.013	1143
26.03	1095
26.047	1122
26.064	1158
26.081	1152
26.098	1110
26.115	1159
26.132	1136
26.149	1147
26.166	1133
26.183	1140
26.2	1158
26.217	1163
26.234	1172
26.251	1165
26.268	1130
26.285	1147
26.302	1165
26.319	1176
26.336	1164
26.353	1162
26.37	1160
26.387	1155
26.404	1173
26.421	1183
26.438	1141
26.455	1124
26.472	1148
26.489	1179
26.506	1144
26.523	1151
26.54	1146
26.557	1166
26.574	1173
26.591	1116
26.608	1098
26.625	1118
26.642	1134
26.659	1154
26.676	1155
26.693	1213
