2theta,MG
23.28,24
23.32,21
23.36,17
23.4,19
23.44,35
23.48,22
23.52,25
23.56,21
23.6,31
23.64,30
23.68,50
23.72,29
23.76,21
23.8,39
23.84,38
23.88,33
23.92,31
23.96,38
24.0,35
24.04,30
24.08,24
24.12,46
24.16,35
24.2,38
24.24,41
24.28,57
24.32,54
24.36,55
24.4,55
24.44,50
24.48,41
24.52,58
24.56,51
24.6,52
24.64,58
24.68,53
24.72,62
24.76,66
24.8,71
24.84,71
24.88,88
24.92,72
24.96,86
25.0,85
25.04,83
25.08,64
25.12,72
25.16,69
25.2,69
25.24,76
25.28,90
25.32,78
25.36,72
25.4,79
25.44,91
25.48,69
25.52,61
25.56,60
25.6,65
25.64,70
25.68,56
25.72,70
25.76,71
25.8,81
25.84,87
25.88,75
25.92,81
25.96,63
26.0,88
26.04,75
26.08,99
26.12,88
26.16,72
26.2,77
26.24,90
26.28,96
26.32,107
26.36,105
26.4,123
26.44,139
26.48,138
26.52,156
26.56,167
26.6,166
26.64,173
26.68,154
26.72,168
26.76,159
26.8,147
26.84,100
26.88,107
26.92,87
26.96,73
27.0,80
27.04,68
27.08,59
27.12,57
27.16,54
27.2,58
27.24,46
27.28,39
27.32,42
27.36,51
27.4,34
27.44,33
27.48,43
27.52,47
27.56,43
27.6,53
27.64,39
27.68,38
27.72,36
27.76,45
27.8,36
27.84,44
27.88,51
27.92,46
27.96,53
28.0,49
28.04,48
28.08,33
28.12,47
28.16,39
28.2,33
28.24,26
28.28,26
28.32,26
28.36,24
28.4,27
28.44,35
28.48,25
28.52,40
28.56,22
28.6,27
28.64,33
28.68,26
28.72,27
28.76,17
28.8,21
28.84,20
28.88,18
28.92,16
28.96,16
29.0,21
29.04,13
29.08,18
29.12,17
29.16,23
29.2,15
29.24,14
29.28,15
29.32,19
29.36,25
29.4,11
29.44,20
29.48,8
29.52,29
29.56,19
29.6,24
29.64,12
29.68,10
29.72,10
29.76,23
29.8,8
29.84,11
29.88,21
29.92,31
29.96,17
30.0,12
