2theta,K,K 350,K 550,MG,MG+GLY
11.12,74,31,62,52,16
11.16,47,51,64,59,16
11.2,83,38,51,42,11
11.24,64,63,63,50,13
11.28,55,50,65,58,13
11.32,52,50,51,51,16
11.36,68,36,55,69,12
11.4,62,46,70,50,24
11.44,66,42,61,56,18
11.48,59,46,53,55,13
11.52,63,47,54,57,10
11.56,66,51,73,55,12
11.6,65,64,49,66,19
11.64,69,54,59,45,17
11.68,63,59,62,55,12
11.72,67,71,66,70,13
11.76,61,72,50,57,13
11.8,61,70,63,57,6
11.84,78,63,58,72,19
11.88,76,59,65,67,7
11.92,66,57,60,80,9
11.96,87,61,53,61,14
12,82,53,78,82,11
12.04,87,57,75,71,8
12.08,67,81,68,94,9
12.12,91,62,63,72,19
12.16,89,70,64,72,11
12.2,95,63,56,72,8
12.24,91,73,71,64,11
12.28,90,69,63,86,13
12.32,92,80,56,80,11
12.36,90,88,66,81,13
12.4,103,76,61,74,10
12.44,106,92,55,65,14
12.48,105,81,71,54,11
12.52,93,91,64,70,12
12.56,74,72,59,62,14
12.6,59,80,62,48,14
12.64,75,71,36,48,13
12.68,70,61,50,48,9
12.72,55,54,50,54,11
12.76,39,47,50,41,6
12.8,42,44,50,31,9
12.84,35,31,52,31,16
12.88,33,40,39,38,12
12.92,42,35,40,32,7
12.96,31,23,27,37,10
13,36,29,29,33,21
13.04,26,23,21,28,5
13.08,28,19,23,26,9
13.12,24,33,20,26,11
13.16,18,33,18,25,15
13.2,29,25,28,20,17
13.24,24,23,22,19,13
13.28,19,21,18,16,15
13.32,23,26,17,15,14
13.36,27,35,22,17,7
13.4,16,20,14,19,7
13.44,13,23,17,23,7
13.48,24,15,19,23,12
13.52,15,19,18,19,5
13.56,19,17,10,19,7
13.6,14,14,22,10,9
13.64,14,20,8,18,15
13.68,15,17,21,10,13
13.72,21,26,14,22,15
13.76,18,27,24,17,15
13.8,15,22,13,16,13
13.84,22,13,15,12,14
13.88,14,19,18,21,14
13.92,14,17,15,12,10
13.96,13,11,10,13,8
14,16,22,14,13,8
14.04,22,14,13,8,12
14.08,15,12,13,12,13
14.12,4,18,15,9,14
14.16,13,13,11,21,11
14.2,21,20,15,13,12
14.24,13,18,11,8,11
14.28,15,9,13,12,10
14.32,11,13,13,8,7
14.36,13,21,8,16,13
14.4,13,15,11,10,11
14.44,13,14,15,9,11
14.48,14,8,19,7,13
14.52,14,17,10,7,11
14.56,18,15,21,10,13
14.6,15,17,10,14,7
14.64,10,16,13,7,11
14.68,14,26,6,5,13
14.72,15,12,12,8,6
14.76,11,9,6,5,8
14.8,8,14,14,16,9
14.84,19,14,10,7,7
14.88,4,15,15,12,7
14.92,9,9,8,10,17
14.96,12,16,16,9,14
15,13,16,9,9,15
15.04,8,13,9,15,10
15.08,8,8,6,7,10
15.12,14,14,7,18,15
15.16,11,10,14,10,13
15.2,12,12,14,6,12
15.24,11,11,7,10,7
15.28,10,21,9,5,5
15.32,6,10,7,12,10
