2.00,256,190,245,245,244
2.04,215,200,232,253,230
2.08,212,180,264,249,220
2.12,211,186,208,254,233
2.16,206,189,206,222,212
2.20,194,156,224,217,177
2.24,177,151,196,197,179
2.28,211,169,203,165,171
2.32,187,170,191,180,174
2.36,162,156,172,181,160
2.40,173,145,187,152,154
2.44,151,155,192,176,171
2.48,164,130,192,153,143
2.52,172,125,176,159,159
2.56,152,143,144,180,143
2.60,171,138,139,133,136
2.64,175,147,156,144,130
2.68,131,141,162,143,137
2.72,140,120,150,130,117
2.76,144,144,157,112,125
2.80,134,115,129,123,109
2.84,138,93,116,111,106
2.88,139,133,116,135,101
2.92,132,96,125,106,109
2.96,131,113,126,100,93
3.00,127,111,129,111,120
3.04,142,112,115,106,102
3.08,127,120,113,87,81
3.12,133,100,103,92,92
3.16,111,99,112,103,94
3.20,135,121,107,80,92
3.24,147,105,116,86,86
3.28,142,103,106,93,80
3.32,119,109,108,102,87
3.36,121,100,110,91,71
3.40,149,106,113,69,90
3.44,127,104,117,71,70
3.48,109,112,114,64,67
3.52,120,108,99,60,69
3.56,114,117,81,70,63
3.60,110,89,88,82,63
3.64,105,91,105,65,80
3.68,135,95,98,66,65
3.72,126,118,87,67,54
3.76,117,80,76,71,69
3.80,107,82,103,60,71
3.84,87,87,94,54,39
3.88,102,92,81,53,46
3.92,90,88,77,58,64
3.96,98,90,89,58,56
4.00,88,94,83,58,60
4.04,100,73,65,64,50
4.08,76,75,72,48,51
4.12,101,86,68,64,43
4.16,103,77,75,50,67
4.20,83,85,64,48,47
4.24,75,71,49,45,53
4.28,83,74,57,43,51
4.32,81,65,57,35,47
4.36,84,66,68,50,41
4.40,66,71,68,54,40
4.44,84,80,62,38,41
4.48,88,67,51,36,40
4.52,75,63,64,49,50
4.56,91,68,52,41,48
4.60,82,62,59,38,39
4.64,87,63,66,40,33
4.68,83,48,61,47,39
4.72,74,60,71,41,43
4.76,82,54,56,44,41
4.80,69,69,56,40,35
4.84,89,46,55,25,34
4.88,73,64,64,39,24
4.92,72,44,46,40,31
4.96,77,57,51,33,22
5.00,79,53,50,36,30
5.04,79,53,49,32,27
5.08,81,54,47,42,38
5.12,67,66,53,32,34
5.16,82,47,43,30,25
5.20,77,54,42,39,36
5.24,69,56,40,38,31
5.28,68,68,48,31,24
5.32,60,57,47,33,40
5.36,70,54,39,40,24
5.40,57,54,45,31,31
5.44,68,54,43,31,27
5.48,87,75,45,27,26
5.52,58,65,38,34,38
5.56,70,59,33,32,25
5.60,77,45,49,40,26
5.64,56,56,34,36,31
5.68,71,46,36,39,19
5.72,48,65,34,30,31
5.76,75,48,38,27,35
5.80,80,68,50,26,28
5.84,73,60,48,24,23
5.88,74,57,49,34,26
5.92,78,65,47,23,23
5.96,81,62,48,27,27
6.00,66,69,46,21,28
6.04,95,77,46,27,26
6.08,73,72,43,29,23
6.12,80,57,37,27,26
6.16,61,69,49,30,27
6.20,89,76,54,31,23
6.24,96,84,43,19,25
6.28,91,93,50,25,24
6.32,78,89,57,14,18
6.36,102,84,51,17,23
6.40,90,97,60,28,23
6.44,83,94,56,23,26
6.48,76,75,48,26,17
6.52,93,74,55,37,22
6.56,76,89,44,25,20
6.60,76,81,57,22,14
6.64,85,97,45,35,24
6.68,89,60,52,27,26
6.72,79,83,75,27,16
6.76,116,95,58,24,23
6.80,89,77,52,26,38
6.84,80,95,57,28,25
6.88,84,76,50,26,32
6.92,111,96,54,32,21
6.96,110,90,68,31,36
7.00,85,103,68,31,24
7.04,99,113,49,19,23
7.08,88,108,61,30,27
7.12,99,117,59,36,24
7.16,103,121,63,32,20
7.20,121,118,55,28,21
7.24,99,127,69,31,33
7.28,102,158,66,27,18
7.32,111,149,61,32,35
7.36,123,137,69,26,21
7.40,101,166,79,34,22
7.44,117,145,78,33,28
7.48,119,152,68,36,30
7.52,138,140,83,35,20
7.56,119,177,64,38,26
7.60,132,128,77,30,26
7.64,139,153,78,31,34
7.68,129,144,84,44,30
7.72,116,151,85,37,37
7.76,161,154,93,37,25
7.80,153,163,90,36,33
7.84,148,150,84,56,32
7.88,155,114,88,54,48
7.92,162,145,101,54,41
7.96,170,139,86,46,45
8.00,176,148,82,61,37
8.04,182,132,92,60,57
8.08,178,127,99,87,45
8.12,191,117,102,70,66
8.16,200,135,112,60,54
8.20,197,128,103,82,63
8.24,200,143,115,79,62
8.28,199,114,111,89,52
8.32,206,98,119,86,71
8.36,208,128,116,112,71
8.40,205,114,123,114,78
8.44,230,136,111,132,84
8.48,231,124,122,121,86
8.52,226,133,130,132,115
8.56,209,115,133,165,112
8.60,229,129,123,185,150
8.64,254,121,134,195,153
8.68,277,114,113,184,191
8.72,271,114,141,193,208
8.76,252,117,141,210,236
8.80,217,106,104,199,246
8.84,205,119,116,193,242
8.88,230,83,105,158,238
8.92,188,91,89,140,205
8.96,175,98,78,118,186
9.00,144,99,78,95,137
9.04,127,80,71,88,138
9.08,144,80,44,80,83
9.12,124,91,63,81,74
9.16,126,66,55,50,74
9.20,122,50,48,61,67
9.24,111,83,39,51,53
9.28,106,77,47,45,40
9.32,101,73,41,40,36
9.36,101,71,46,33,33
9.40,76,72,48,27,34
9.44,84,62,45,29,26
9.48,87,65,46,40,24
9.52,78,62,38,38,24
9.56,89,60,35,27,22
9.60,69,52,42,33,18
9.64,69,52,44,37,17
9.68,84,52,34,34,10
9.72,70,49,41,32,18
9.76,83,70,37,24,23
9.80,65,65,26,23,24
9.84,66,56,45,27,17
9.88,73,46,47,31,11
9.92,76,55,30,18,19
9.96,72,65,24,29,17
10.00,60,57,34,22,13
10.04,59,38,38,32,19
10.08,63,50,29,29,11
10.12,52,52,33,25,20
10.16,71,55,24,19,14
10.20,58,44,39,20,16
10.24,60,48,35,26,12
10.28,73,51,31,19,16
10.32,61,61,20,24,9
10.36,59,53,30,27,18
10.40,79,44,44,31,19
10.44,71,67,30,20,16
10.48,74,51,28,24,14
10.52,78,47,47,30,24
10.56,72,52,41,39,16
10.60,69,43,40,28,23
10.64,58,46,36,21,16
10.68,62,53,31,24,13
10.72,63,54,35,21,12
